Timestamp,,,Country,How do you preferred login method for secure websites?,How many people live in your household? ,How many meals a week are cooked in your household?,How often does your household shop for groceries? ,What is the biggest challenge with cooking your household encounters?,"When searching for a recipe, what influences your household the most?",What is the top source for finding recipes within your household?,How are favorite recipes stored?,"Does your household use a mobile app(s) to help you manage your recipes, cooking tips, or dieting concerns? ","If the answer to the above question is yes, please enter the app name(s).",Does your household create a meal plan each week?,,Would your household benefit from a tool that helps get your meal plan on a calendar?,Gender,Age group,Would your household benefit from a tool that assists in organizing all of your recipes from different sources?
15/08/2020 09:46:17,,,United States,"Whatever is available. If it's integrated with Facebook, I'll most likely sign in from there",2,0-3 Meals,Every other week,Planning,"Dietary (Vegan, Keto, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Recipe Management App(s),Yes,Senza,No,,Maybe,Male,25-35,Yes
15/08/2020 10:16:47,,,Canada,Login with Google,3,10+ Meals,Once a week,Planning,"Type of Cuisine (Italian, Mexican, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Binder or Notebook,No,,Yes,,Yes,Female,35-45,Yes
15/08/2020 10:39:59,,,Canada,Login with Apple,2,7-10 Meals,Every other week,Kitchen clean up,"Type of Cuisine (Italian, Mexican, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Saved items on Instagram ,No,,No,,Maybe,Female,Under 25,Maybe
15/08/2020 10:42:45,,,United States,Login with Facebook,4,10+ Meals,Once a week,Planning,Time involved to prepare/cook,"Internet (Blogs, Websites, etc.)",Pinterest,No,,Yes,,No,Female,35-45,No
15/08/2020 10:51:42,,,Canada,Login with Google,2,4-6 Meals,Once a week,Kitchen clean up,"Type of Cuisine (Italian, Mexican, etc.)","Internet (Blogs, Websites, etc.)",Recipe Box,No,,No,,Maybe,Female,Under 25,No
15/08/2020 10:52:21,,,India,Email & Password,4,0-3 Meals,Once a week,Time Management,"Type of Cuisine (Italian, Mexican, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Physical Cookbook,No,,No,,Maybe,Female,Under 25,Maybe
15/08/2020 11:07:03,,,Canada,Email & Password,2,7-10 Meals,Two or more times a week,Planning,Time involved to prepare/cook,"Social Media Apps (Youtube, Instagram, etc.)",Screen shot if recipe ,Yes,Copy me that,No,,Yes,Female,55-65,Yes
15/08/2020 11:28:40,,,Canada,Email & Password,2,10+ Meals,Once a week,Planning,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,No,,Maybe,Male,65+,Maybe
15/08/2020 11:31:39,,,United States,Email & Password,2,0-3 Meals,Once a week,Kitchen clean up,"Cooking Method (Instant Pot, Grill, etc.)",Family Recipes,Recipe Box,No,,No,,No,Male,Under 25,Yes
15/08/2020 11:42:14,,,Canada,"Email, password, 2FA",3,10+ Meals,Once a week,Planning,Time involved to prepare/cook,"Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,Yes,,Yes,Male,35-45,Yes
15/08/2020 11:48:34,,,United States,Email & Password,2,7-10 Meals,Once a week,Planning,"Cooking Method (Instant Pot, Grill, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Recipe Box,No,,No,,Yes,Female,35-45,Maybe
15/08/2020 13:03:51,,,United States,Email & Password,4,4-6 Meals,Once a week,Planning,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Binder or Notebook,Yes,Weight watchers,No,,Yes,Female,45-55,Maybe
15/08/2020 13:08:14,,,United States,Login with Google,4,10+ Meals,Once a week,Planning,Key Ingredient(s),"Social Media Apps (Youtube, Instagram, etc.)",Pinterest,Yes,Pinterest ,Yes,,Yes,Female,45-55,Yes
15/08/2020 13:22:43,,,India,Email & Password,4,10+ Meals,Two or more times a week,Kitchen clean up,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,No,,Maybe,Female,Under 25,Maybe
15/08/2020 14:38:40,,,United States,Login with Google,1,0-3 Meals,Once a week,Kitchen clean up,Key Ingredient(s),"Social Media Apps (Youtube, Instagram, etc.)",Youtube,No,,No,,No,Male,Under 25,Yes
15/08/2020 14:50:12,,,Canada,Login with Google,3,10+ Meals,Every other week,Planning,"Cooking Method (Instant Pot, Grill, etc.)","Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,Yes,,Yes,Male,35-45,Yes
15/08/2020 16:31:07,,,United States,Email & Password,3,4-6 Meals,Once a week,Time Management,Key Ingredient(s),Family Recipes,Recipe Box,No,,No,,Maybe,Female,45-55,Maybe
15/08/2020 16:31:50,,,United States,Email & Password,3,7-10 Meals,Two or more times a week,Planning,Key Ingredient(s),Cookbooks,Binder or Notebook,No,,Yes,,Yes,Female,55-65,Yes
15/08/2020 16:58:22,,,United States,Login with Apple,2,4-6 Meals,Once a week,Planning,Key Ingredient(s),Family Recipes,Recipe Box,No,,Yes,,Maybe,Male,65+,Maybe
15/08/2020 18:36:46,,,United States,Login with Google,4,10+ Meals,Once a week,Kitchen clean up,"Cooking Method (Instant Pot, Grill, etc.)","Internet (Blogs, Websites, etc.)",Recipe Management App(s),Yes,"WE mobile app, CopyMeThat",Yes,,Yes,Female,45-55,Yes
15/08/2020 19:01:04,,,United States,Login with Google,2,4-6 Meals,Once a week,Kitchen clean up,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,No,,Maybe,Female,25-35,Yes
15/08/2020 19:28:08,,,United States,Email & Password,4,4-6 Meals,Two or more times a week,Planning,Will the kids eat it,Family Recipes,Physical Cookbook,No,,No,,Yes,Female,35-45,Yes
15/08/2020 19:37:43,,,United States,Email & Password,3,10+ Meals,Once a week,Time Management,"Dietary (Vegan, Keto, etc.)","Internet (Blogs, Websites, etc.)",Physical Cookbook,Yes,Mealime,No,,Yes,Female,35-45,Yes
15/08/2020 19:37:44,,,United States,Email & Password,2,10+ Meals,Once a week,Shopping for ingredients,"Dietary (Vegan, Keto, etc.)","Social Media Apps (Youtube, Instagram, etc.)",Pinterest,Yes,ww,Yes,,Maybe,Female,45-55,Yes
15/08/2020 20:09:53,,,"Korea, South",Login with Google,4,10+ Meals,Every other week,Planning,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",We need grandma's approval,No,,No,,Maybe,Male,25-35,Yes
16/08/2020 05:02:59,,,United States,Email & Password,4,7-10 Meals,Once a week,Time Management,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,No,,Maybe,Female,55-65,Maybe
16/08/2020 06:31:30,,,United States,Email & Password,2,10+ Meals,Every other week,Time Management,"Type of Cuisine (Italian, Mexican, etc.)","Internet (Blogs, Websites, etc.)",Binder or Notebook,Yes,WW,No,,Yes,Female,35-45,Yes
16/08/2020 09:18:49,,,United States,Email & Password,2,7-10 Meals,Once a week,Time Management,"Type of Cuisine (Italian, Mexican, etc.)",Family Recipes,Recipe Management App(s),No,,No,,Maybe,Male,35-45,No
16/08/2020 09:36:15,,,Australia,Email & Password,2,4-6 Meals,Once a month,Planning,"Dietary (Vegan, Keto, etc.)","Internet (Blogs, Websites, etc.)",Screenshots on phone,No,,No,,Maybe,Female,Under 25,Maybe
16/08/2020 10:03:02,,,United States,Email & Password,1,10+ Meals,Once a week,Kitchen clean up,Key Ingredient(s),"Internet (Blogs, Websites, etc.)",Browser bookmarks or Google drive folder,No,,Yes,,No,Female,35-45,Maybe
16/08/2020 10:55:16,,,United States,Email & Password,3,7-10 Meals,Once a week,Kitchen clean up,"Dietary (Vegan, Keto, etc.)","Internet (Blogs, Websites, etc.)",Binder or Notebook,No,,Yes,,Maybe,Female,35-45,Maybe
